,Close,compound,negative,neutral,positive,Open,High,Low,Volume
194,138.880005,-0.4019,0.278,0.722,0.0,142.059998,142.800003,138.75,97918500.0
195,138.380005,0.0,0.0,1.0,0.0,142.089996,142.669998,134.380005,140814800.0
196,138.919998,0.0,0.0,1.0,0.0,137.110001,139.149994,135.669998,83374600.0
197,139.5,0.0,0.0,1.0,0.0,140.410004,141.429993,137.490005,89908500.0
198,134.869995,0.0,0.0,1.0,0.0,138.5,138.550003,134.589996,74917800.0
199,146.869995,-0.5994,0.394,0.606,0.0,141.240005,146.869995,139.5,118854000.0
200,149.699997,0.34,0.0,0.769,0.231,145.820007,150.009995,144.369995,93979700.0
201,148.279999,0.4215,0.245,0.319,0.436,148.970001,150.279999,147.429993,73374100.0
202,150.039993,0.0,0.0,1.0,0.0,152.220001,153.589996,148.559998,89868300.0
203,148.789993,0.5719,0.0,0.575,0.425,149.130005,149.869995,147.289993,64218300.0
204,150.720001,0.0,0.0,1.0,0.0,146.429993,151.479996,146.149994,80389400.0
205,151.289993,-0.296,0.306,0.694,0.0,152.309998,152.699997,149.970001,74829600.0
206,148.009995,-0.6249,0.451,0.549,0.0,150.160004,150.369995,147.720001,58724100.0
207,150.179993,0.0,0.0,1.0,0.0,148.130005,150.419998,146.929993,51804100.0
208,151.070007,0.0,0.0,1.0,0.0,149.449997,151.830002,149.339996,58301400.0
209,148.110001,0.0,0.0,1.0,0.0,148.309998,148.880005,147.119995,35195900.0
210,144.220001,0.5574,0.0,0.395,0.605,145.139999,146.639999,143.380005,69246000.0
211,141.169998,0.6249,0.0,0.423,0.577,144.289993,144.809998,140.350006,83763800.0
212,148.029999,0.0,0.0,1.0,0.0,141.399994,148.720001,140.550003,111380900.0
213,148.309998,0.4767,0.0,0.693,0.307,148.210007,149.130005,146.610001,71250400.0
214,147.809998,-0.1027,0.167,0.833,0.0,145.960007,148.0,145.649994,65447400.0
215,146.630005,0.0,0.0,1.0,0.0,147.770004,150.919998,145.770004,68826400.0
216,142.910004,0.2732,0.141,0.588,0.271,147.070007,147.300003,141.919998,64727200.0
217,140.940002,0.0,0.0,1.0,0.0,142.190002,143.369995,140.0,69721100.0
218,142.649994,0.0,0.0,1.0,0.0,142.360001,143.520004,141.100006,62128300.0
219,142.160004,0.0,0.0,1.0,0.0,142.339996,145.570007,140.899994,76097000.0
220,144.490005,-0.2732,0.259,0.741,0.0,142.699997,144.5,141.059998,70462700.0
221,145.470001,0.0,0.0,1.0,0.0,149.5,149.970001,144.240005,93886200.0
222,143.210007,0.3612,0.0,0.706,0.294,145.350006,146.660004,141.160004,82291200.0
223,136.5,0.4404,0.0,0.58,0.42,141.110001,141.800003,136.029999,98931900.0
224,134.509995,0.5267,0.0,0.595,0.405,136.690002,137.649994,133.729996,160156900.0
225,132.369995,0.0,0.0,1.0,0.0,135.110001,135.199997,131.320007,79592600.0
226,132.300003,0.0,0.0,1.0,0.0,131.389999,133.25,129.889999,77432800.0
227,135.449997,-0.4019,0.403,0.597,0.0,132.979996,136.809998,132.75,85928000.0
228,132.229996,0.6808,0.0,0.417,0.583,134.350006,134.559998,130.300003,77852100.0
229,131.860001,0.0,0.0,1.0,0.0,130.919998,132.419998,129.639999,63814900.0
230,130.029999,0.6369,0.0,0.543,0.457,131.380005,131.410004,128.720001,69007800.0
231,126.040001,-0.3818,0.342,0.658,0.0,129.669998,131.029999,125.870003,85438400.0
232,129.610001,0.4404,0.0,0.633,0.367,127.989998,130.479996,127.730003,75703700.0
233,129.929993,0.0,0.0,1.0,0.0,128.410004,129.949997,127.43,76960600.0
234,125.07,0.0,0.0,1.0,0.0,130.279999,130.899994,124.169998,112117500.0
235,126.360001,0.0,0.0,1.0,0.0,126.889999,128.660004,125.080002,89113600.0
236,125.019997,0.0,0.0,1.0,0.0,127.129997,127.769997,124.760002,80962700.0
237,129.619995,-0.296,0.355,0.645,0.0,126.010002,130.289993,124.889999,87686600.0
238,130.149994,0.4019,0.0,0.27,0.73,130.470001,133.410004,129.889999,70790800.0
239,130.729996,0.0,0.0,1.0,0.0,130.259995,131.259995,128.119995,63896200.0
240,133.490005,0.2263,0.217,0.435,0.348,131.25,133.509995,130.460007,69458900.0
241,133.410004,0.0,0.0,1.0,0.0,133.880005,134.259995,131.440002,71379600.0
242,134.759995,-0.4404,0.326,0.674,0.0,132.029999,134.919998,131.660004,57758000.0
243,135.940002,0.0,0.0,1.0,0.0,134.830002,137.289993,134.130005,63646600.0
244,135.210007,0.0,0.0,1.0,0.0,136.820007,138.610001,135.029999,69672800.0
245,135.270004,0.25,0.0,0.6,0.4,134.080002,136.25,133.770004,58280400.0
246,137.869995,-0.34,0.444,0.556,0.0,135.279999,138.020004,134.220001,79972200.0
247,141.110001,0.0,0.0,1.0,0.0,138.119995,143.320007,137.899994,81760300.0
248,142.529999,0.34,0.0,0.714,0.286,140.309998,143.160004,140.300003,66435100.0
249,141.860001,0.0,0.0,1.0,0.0,140.889999,142.429993,138.809998,65799300.0
250,143.960007,0.0,0.0,1.0,0.0,143.169998,144.25,141.899994,54003800.0
